Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_D8ads_v7,Standard,D8ads_v7,GeneralPurpose,Dadsv7,8,32,7,AMD
Standard_D8alds_v6,Standard,D8alds_v6,GeneralPurpose,Daldv6,8,16,6,AMD
Standard_D8alds_v7,Standard,D8alds_v7,GeneralPurpose,Daldsv7,8,16,7,AMD
Standard_D8als_v6,Standard,D8als_v6,GeneralPurpose,Dalv6,8,16,6,AMD
Standard_D8als_v7,Standard,D8als_v7,GeneralPurpose,Dalsv7,8,16,7,AMD
Standard_D8as_v4,Standard,D8as_v4,GeneralPurpose,DASv4,8,32,4,AMD
Standard_D8as_v5,Standard,D8as_v5,GeneralPurpose,DASv5,8,32,5,AMD
Standard_D8as_v6,Standard,D8as_v6,GeneralPurpose,Dav6,8,32,6,AMD
Standard_D8as_v7,Standard,D8as_v7,GeneralPurpose,Dasv7,8,32,7,AMD
Standard_D8a_v4,Standard,D8a_v4,GeneralPurpose,DAv4,8,32,4,AMD
Standard_D8ds_v4,Standard,D8ds_v4,GeneralPurpose,DDSv4,8,32,4,Intel
Standard_D8ds_v5,Standard,D8ds_v5,GeneralPurpose,DDSv5,8,32,5,Intel
Standard_D8ds_v6,Standard,D8ds_v6,GeneralPurpose,Ddsv6,8,32,6,Intel
Standard_D8ds_v7,Standard,D8ds_v7,GeneralPurpose,Ddsv7,8,32,7,Intel
Standard_D8d_v4,Standard,D8d_v4,GeneralPurpose,DDv4,8,32,4,Intel
Standard_D8d_v5,Standard,D8d_v5,GeneralPurpose,DDv5,8,32,5,Intel
Standard_D8lds_v5,Standard,D8lds_v5,GeneralPurpose,DLDSv5,8,16,5,Intel
Standard_D8lds_v6,Standard,D8lds_v6,GeneralPurpose,Dldsv6,8,16,6,Intel
Standard_D8lds_v7,Standard,D8lds_v7,GeneralPurpose,Dldsv7,8,16,7,Intel
Standard_D8ls_v5,Standard,D8ls_v5,GeneralPurpose,DLSv5,8,16,5,Intel
Standard_D8ls_v6,Standard,D8ls_v6,GeneralPurpose,Dlsv6,8,16,6,Intel
Standard_D8ls_v7,Standard,D8ls_v7,GeneralPurpose,Dlsv7,8,16,7,Intel
Standard_D8pds_v5,Standard,D8pds_v5,GeneralPurpose,DPDSv5,8,32,5,ARM
Standard_D8pds_v6,Standard,D8pds_v6,GeneralPurpose,Dpdsv6,8,32,6,ARM
Standard_D8plds_v5,Standard,D8plds_v5,GeneralPurpose,DPLDSv5,8,16,5,ARM
Standard_D8plds_v6,Standard,D8plds_v6,GeneralPurpose,Dpldsv6,8,16,6,ARM
Standard_D8pls_v5,Standard,D8pls_v5,GeneralPurpose,DPLSv5,8,16,5,ARM
Standard_D8pls_v6,Standard,D8pls_v6,GeneralPurpose,Dplsv6,8,16,6,ARM
Standard_D8ps_v5,Standard,D8ps_v5,GeneralPurpose,DPSv5,8,32,5,ARM
Standard_D8ps_v6,Standard,D8ps_v6,GeneralPurpose,Dpsv6,8,32,6,ARM
Standard_D8s_v3,Standard,D8s_v3,GeneralPurpose,DSv3,8,32,3,Intel
Standard_D8s_v4,Standard,D8s_v4,GeneralPurpose,DSv4,8,32,4,Intel
Standard_D8s_v5,Standard,D8s_v5,GeneralPurpose,DSv5,8,32,5,Intel
Standard_D8s_v6,Standard,D8s_v6,GeneralPurpose,Dsv6,8,32,6,Intel
Standard_D8s_v7,Standard,D8s_v7,GeneralPurpose,Dsv7,8,32,7,Intel
Standard_D8_v3,Standard,D8_v3,GeneralPurpose,Dv3,8,32,3,Intel
Standard_D8_v4,Standard,D8_v4,GeneralPurpose,Dv4,8,32,4,Intel
